Date,F,ADS,ESCA,BGFV,NKE,PEP,TTWO
3/19/2020,4.47,25.38,6.18,1.01,70.34,117.34,106.36
3/20/2020,4.33,27.55,6,0.89,67.45,103.93,100.15
3/23/2020,4.01,31.02,5.89,1.01,62.8,105.18,109.82
3/24/2020,4.95,42.01,6.4,1.22,72.33,113.84,112.22
3/25/2020,5.39,38.51,6.5,1.17,79.01,112.5,109.72
3/26/2020,5.25,37.55,6.27,1.25,84.3,120.26,115.25
3/27/2020,5.19,36.47,5.68,1.21,83.23,120.46,111.7
3/30/2020,5.03,34.3,6.1,1.05,85.38,125.48,118.51
3/31/2020,4.83,33.65,5.95,1.07,82.74,120.1,118.61
4/1/2020,4.4,31.04,5.12,0.98,79.23,118.12,116.33
4/2/2020,4.36,28.29,5.45,0.72,80.14,123.86,119.51
4/3/2020,4.24,26.49,4.75,0.71,78.86,124.59,118.49
4/6/2020,4.53,31.16,5.43,0.83,84.63,131.16,121.29
4/7/2020,4.71,35.57,5.51,0.84,84.16,130.48,120.06
4/8/2020,5.03,40.71,5.8,0.95,85.3,132.61,119.1
4/9/2020,5.37,38.58,6.2,0.97,86.79,133.63,119.4
4/13/2020,5.16,35.82,6.31,0.96,84.46,130.89,120
4/14/2020,5.29,36.41,6.03,1.01,87.47,138.4,122.78
4/15/2020,5.03,34.52,6.08,0.97,85.04,135.03,123.5
4/16/2020,4.94,33,6.95,0.89,86.3,135.64,126.82
4/17/2020,5.12,37.86,7.35,0.93,89.91,137.55,124.44
4/20/2020,4.98,36.49,7.73,0.98,87.9,134.55,125.35
4/21/2020,4.77,35.97,7.63,0.93,85.2,130.94,125.73
4/22/2020,4.77,36.68,7.56,0.93,88.77,132.62,127.44
4/23/2020,4.89,40.39,7.34,0.94,87.35,130.26,124.55
4/24/2020,4.87,40.4,7.55,0.94,88.37,134.36,127.88
4/27/2020,5.17,41.39,7.54,1.09,89.37,134.46,125.93
4/28/2020,5.38,47.6,7.61,1.18,88.8,136.32,120.51
4/29/2020,5.26,54.94,8.95,1.28,88.07,133.36,121.18
4/30/2020,5.09,50.07,8.55,1.37,87.18,132.29,121.05
5/1/2020,4.92,46.38,7.8,1.2,85.54,130.14,122.65
5/4/2020,4.86,46.34,7.79,1.25,85.75,130.92,124.91
5/5/2020,4.97,45.34,7.41,1.25,87.2,131.67,125.28
5/6/2020,4.87,43.71,7.65,1.14,88.44,130.78,127.73
5/7/2020,4.87,45.5,8.07,1.18,88.56,131.55,128.78
5/8/2020,5.24,47.18,8.22,1.26,90.46,134.23,129.85
5/11/2020,5.12,43.02,9,1.28,90.93,134.38,132.59
5/12/2020,4.98,40.47,8.51,1.26,88.26,132.94,131.62
5/13/2020,4.72,37.06,8.65,1.19,86.02,132.96,131.38
5/14/2020,4.89,39.38,8.85,1.17,86.55,133.08,131.53
5/15/2020,4.9,38.18,8.79,1.18,86.99,135.95,132.54
5/18/2020,5.31,44.83,8.94,1.24,91.04,135.52,135.53
5/19/2020,5.3,42.65,8.77,1.45,91.51,131.73,142.24
5/20/2020,5.49,44.08,9.17,1.36,92.95,131.26,146.84
5/21/2020,5.63,43.06,9.59,1.55,94.26,130.21,138.19
5/22/2020,5.65,42.05,9.72,1.75,93.75,130.48,140.51
5/26/2020,5.84,49.42,10.35,1.91,96.62,129.75,130.2
5/27/2020,6.03,51.99,10.25,1.94,99.87,130.81,134.52
5/28/2020,5.85,49,10.16,1.9,98.46,132.29,134.07
5/29/2020,5.71,46.33,10.08,1.86,98.58,131.55,136.17
6/1/2020,5.87,49.9,10.73,1.93,99.54,132.99,136.22
6/2/2020,5.9,49.75,11.16,2.24,100.74,132.63,134.6
6/3/2020,6.19,55.17,11.59,2.73,104.11,132.82,129.3
6/4/2020,6.57,54.53,11.51,2.38,101.28,130.57,127.59
6/5/2020,7.34,60.34,11.67,2.28,102.71,132.44,128.91
6/8/2020,7.53,66.09,12.18,2.42,104.29,132.21,134.8
6/9/2020,7.24,63.51,12.37,2.32,102.63,132.97,134.41
6/10/2020,6.81,56.55,11.89,2.15,102.12,134.13,137.31
6/11/2020,6.13,47.57,10.93,1.87,95.17,127.84,134.92
6/12/2020,6.46,52.09,10.48,2,96.43,129,134
6/15/2020,6.5,50.86,10.84,2,97.84,130.48,137.15
6/16/2020,6.55,53.08,11.06,2.01,99.04,131.67,135.67
6/17/2020,6.33,50.59,11.23,1.98,99.21,131.76,138.92
6/18/2020,6.33,48.78,11.12,2.05,98.45,132.78,141.25
6/19/2020,6.23,47.4,11.75,1.98,95.78,131.28,142.61
6/22/2020,6.28,47.4,11.89,2.01,99.51,131.05,141.14
6/23/2020,6.15,48.63,13.22,1.98,101.92,131.36,143.37
6/24/2020,5.95,45.44,12.99,1.81,100.08,129.56,139.87
6/25/2020,6.03,46.12,13.17,2.07,101.4,131.41,140.4
6/26/2020,5.91,42.87,14.93,1.85,93.67,128.93,141.18
6/29/2020,6.01,45.71,14.09,1.91,95.87,131.08,137.79
6/30/2020,6.08,45.12,13.96,1.94,98.05,132.26,139.57
7/1/2020,5.98,43.74,14.32,1.9,97.4,132.36,144.11
7/2/2020,6.05,43.7,13.76,1.9,98.43,132.85,144.4
7/6/2020,6.19,43.81,13.85,1.94,99.95,133.3,145.68
7/7/2020,6.12,42,13.94,1.85,97.07,133.57,147.27
7/8/2020,6.09,42.49,13.56,1.92,98.84,134.22,147.82
7/9/2020,5.84,39.9,13.36,2.68,96.99,132.71,150.76
7/10/2020,6.1,41.52,13.85,2.66,97.99,134.46,153.91
7/13/2020,6.06,40.97,13.63,2.55,96.46,134.91,146.82
7/14/2020,6.36,40.53,13.28,2.62,96.76,135.52,151.05
