Date,Close
1/2/2020 16:00,39.11602
1/3/2020 16:00,38.90504
1/6/2020 16:00,38.8523
1/7/2020 16:00,38.72571
1/8/2020 16:00,39.03163
1/9/2020 16:00,38.86285
1/10/2020 16:00,39.46414
1/13/2020 16:00,39.37975
1/14/2020 16:00,40.04434
1/15/2020 16:00,40.64564
1/16/2020 16:00,40.58235
1/17/2020 16:00,40.48741
1/21/2020 16:00,40.31862
1/22/2020 16:00,40.16038
1/23/2020 16:00,40.68784
1/24/2020 16:00,39.79117
1/27/2020 16:00,40.12874
1/28/2020 16:00,38.11386
1/29/2020 16:00,37.55476
1/30/2020 16:00,37.0484
1/31/2020 16:00,37.21719
2/3/2020 16:00,37.48091
2/4/2020 16:00,37.6708
2/5/2020 16:00,38.14551
2/6/2020 16:00,38.24045
2/7/2020 16:00,38.02947
2/10/2020 16:00,37.78684
2/11/2020 16:00,38.06111
2/12/2020 16:00,37.71299
2/13/2020 16:00,36.91126
2/14/2020 16:00,36.4893
2/18/2020 16:00,36.29942
2/19/2020 16:00,36.20447
2/20/2020 16:00,35.82471
2/21/2020 16:00,35.69812
2/24/2020 16:00,34.64321
2/25/2020 16:00,33.90477
2/26/2020 16:00,34.69595
2/27/2020 16:00,34.07356
2/28/2020 16:00,33.39842
3/2/2020 16:00,34.85419
3/3/2020 16:00,34.27399
3/4/2020 16:00,36.37326
3/5/2020 16:00,35.43439
3/6/2020 16:00,35.00188
3/9/2020 16:00,33.73599
3/10/2020 16:00,34.56937
3/11/2020 16:00,32.15362
3/12/2020 16:00,30.00161
3/13/2020 16:00,32.69163
3/16/2020 16:00,30.15985
3/17/2020 16:00,32.14307
3/18/2020 16:00,32.34351
3/19/2020 16:00,30.40247
3/20/2020 16:00,28.9889
3/23/2020 16:00,28.47199
3/24/2020 16:00,29.68514
3/25/2020 16:00,29.72733
3/26/2020 16:00,31.73166
3/27/2020 16:00,30.87718
3/30/2020 16:00,32.64943
3/31/2020 16:00,32.61778
4/1/2020 16:00,31.73166
4/2/2020 16:00,32.84986
4/3/2020 16:00,33.61995
4/6/2020 16:00,34.54827
4/7/2020 16:00,33.5883
4/8/2020 16:00,34.57991
4/9/2020 16:00,35.3711
4/13/2020 16:00,35.11792
4/14/2020 16:00,36.41546
4/15/2020 16:00,35.9513
4/16/2020 16:00,35.85635
4/17/2020 16:00,36.89017
4/20/2020 16:00,36.05679
4/21/2020 16:00,35.59263
4/22/2020 16:00,36.22557
4/23/2020 16:00,36.66863
4/24/2020 16:00,37.35433
4/27/2020 16:00,38.30374
4/28/2020 16:00,37.88178
4/29/2020 16:00,38.09276
4/30/2020 16:00,38.33539
5/1/2020 16:00,37.61805
5/4/2020 16:00,37.59695
5/5/2020 16:00,38.48308
5/6/2020 16:00,38.48308
5/7/2020 16:00,36.93236
5/8/2020 16:00,37.19609
5/11/2020 16:00,38.07166
5/12/2020 16:00,37.33323
5/13/2020 16:00,37.0273
5/14/2020 16:00,37.89233
